state,year_month,avg_covid_uti,avg_covid_cli,total_deaths
PERNAMBUCO,2022-05,6.76,3.62,32
MATO GROSSO DO SUL,2022-05,0.22,0.53,9
PARANÁ,2022-05,1.21,2.13,28
DISTRITO FEDERAL,2022-05,3.24,2.59,21
CEARÁ,2022-05,1.35,7.36,24
PARAÍBA,2022-05,1.92,4.29,8
AMAZONAS,2022-05,0.04,0.87,49
GOIÁS,2022-05,0.39,0.39,16603
RIO GRANDE DO NORTE,2022-05,0.71,1.15,3
BAHIA,2022-05,1.76,1.28,8
PIAUÍ,2022-05,0.52,0.96,2
MATO GROSSO,2022-05,1.38,1.88,9
RONDÔNIA,2022-05,1.34,1.34,6
TOCANTINS,2022-05,0.14,0.22,0
PARÁ,2022-05,0.94,1.18,87
AMAPÁ,2022-05,0.10,9.35,0
MARANHÃO,2022-05,0.11,0.37,2
ACRE,2022-05,0.00,0.00,0
SANTA CATARINA,2022-06,0.80,2.59,696
SÃO PAULO,2022-06,1.76,4.38,85
PARANÁ,2022-06,1.13,3.12,22
SERGIPE,2022-06,1.23,1.16,3
GOIÁS,2022-06,0.69,1.26,25441
RIO GRANDE DO SUL,2022-06,0.38,1.78,20
RIO DE JANEIRO,2022-06,2.28,2.63,92
MINAS GERAIS,2022-06,0.58,1.90,2024
ESPÍRITO SANTO,2022-06,3.69,6.12,17
ALAGOAS,2022-06,0.19,0.47,1
CEARÁ,2022-06,1.31,6.99,24
BAHIA,2022-06,2.29,1.90,10
RIO GRANDE DO NORTE,2022-06,0.06,1.88,1
PERNAMBUCO,2022-06,8.33,4.48,74
PARÁ,2022-06,0.90,2.77,79
MATO GROSSO DO SUL,2022-06,0.34,0.74,31
AMAPÁ,2022-06,0.17,7.83,0
MATO GROSSO,2022-06,2.50,5.12,32
AMAZONAS,2022-06,0.08,1.01,55
PARAÍBA,2022-06,1.65,1.74,23
PIAUÍ,2022-06,0.58,1.53,6
DISTRITO FEDERAL,2022-06,4.58,9.16,29
RONDÔNIA,2022-06,1.50,2.49,8
MARANHÃO,2022-06,0.06,0.82,0
TOCANTINS,2022-06,0.00,0.96,2
ACRE,2022-06,0.00,0.00,0
SANTA CATARINA,2022-07,0.98,2.42,681
SÃO PAULO,2022-07,1.68,4.14,120
RIO DE JANEIRO,2022-07,3.27,3.02,97
MINAS GERAIS,2022-07,0.76,2.07,2099
GOIÁS,2022-07,0.72,0.93,16104
SERGIPE,2022-07,4.24,3.71,26
RIO GRANDE DO SUL,2022-07,0.43,1.53,14
ESPÍRITO SANTO,2022-07,4.25,9.33,31
CEARÁ,2022-07,1.60,7.94,42
ALAGOAS,2022-07,0.81,2.35,10
PIAUÍ,2022-07,1.81,8.43,19
PARANÁ,2022-07,0.83,1.62,12
RONDÔNIA,2022-07,1.70,5.16,24
PERNAMBUCO,2022-07,8.87,4.65,126
BAHIA,2022-07,7.28,7.26,61
MATO GROSSO DO SUL,2022-07,0.56,0.94,30
DISTRITO FEDERAL,2022-07,4.17,7.66,27
MATO GROSSO,2022-07,2.86,5.29,38
AMAZONAS,2022-07,0.62,2.74,62
PARÁ,2022-07,1.97,3.37,96
RIO GRANDE DO NORTE,2022-07,0.20,1.67,4
AMAPÁ,2022-07,0.47,12.17,1
TOCANTINS,2022-07,0.97,1.51,5
MARANHÃO,2022-07,0.17,1.93,5
PARAÍBA,2022-07,3.65,3.84,23
ACRE,2022-07,0.00,1.35,0
SANTA CATARINA,2022-09,0.35,0.74,697
SÃO PAULO,2022-08,0.84,2.22,44
RIO GRANDE DO SUL,2022-08,0.62,1.23,16
SANTA CATARINA,2022-08,0.66,1.10,775
SERGIPE,2022-08,2.30,1.62,7
GOIÁS,2022-08,-0.01,0.06,0
PERNAMBUCO,2022-08,7.14,2.18,65
MINAS GERAIS,2022-08,0.40,0.91,1954
ALAGOAS,2022-08,0.05,0.03,1
PARANÁ,2022-08,0.96,1.35,5
ESPÍRITO SANTO,2022-08,3.38,6.32,22
CEARÁ,2022-08,0.95,5.86,33
BAHIA,2022-08,3.42,3.75,51
RIO DE JANEIRO,2022-08,3.60,1.88,26
MATO GROSSO DO SUL,2022-08,0.24,0.67,16
DISTRITO FEDERAL,2022-08,1.31,2.16,14
RONDÔNIA,2022-08,1.16,2.82,25
PIAUÍ,2022-08,2.55,7.19,2
PARÁ,2022-08,2.15,2.23,99
AMAZONAS,2022-08,0.17,1.12,36
MATO GROSSO,2022-08,1.37,1.83,6
PARAÍBA,2022-08,2.03,2.91,12
TOCANTINS,2022-08,0.55,0.35,4
MARANHÃO,2022-08,0.02,0.62,0
RIO GRANDE DO NORTE,2022-08,0.01,0.31,0
AMAPÁ,2022-08,0.15,2.11,4
ACRE,2022-08,0.80,3.93,0
SÃO PAULO,2022-09,0.55,1.57,18
MINAS GERAIS,2022-09,0.21,0.40,1829
CEARÁ,2022-09,0.75,6.00,8
ESPÍRITO SANTO,2022-09,2.99,5.98,2
RIO GRANDE DO SUL,2022-09,0.25,0.48,5
PARANÁ,2022-09,1.09,0.79,5
AMAZONAS,2022-09,0.03,0.95,48
SERGIPE,2022-09,0.97,1.23,3
DISTRITO FEDERAL,2022-09,1.52,2.44,6
PERNAMBUCO,2022-09,6.77,2.47,37
BAHIA,2022-09,1.66,1.38,15
GOIÁS,2022-09,0.04,0.05,4
RIO DE JANEIRO,2022-09,3.23,1.92,17
RONDÔNIA,2022-09,0.01,0.38,11
ALAGOAS,2022-09,0.12,0.31,1
MARANHÃO,2022-09,0.01,0.30,0
TOCANTINS,2022-09,0.10,0.07,2
AMAPÁ,2022-09,0.00,5.69,0
RIO GRANDE DO NORTE,2022-09,0.02,0.12,2
PARAÍBA,2022-09,1.07,1.04,4
PIAUÍ,2022-09,4.55,10.70,4
PARÁ,2022-09,0.83,1.65,92
MATO GROSSO,2022-09,0.27,0.34,1
ACRE,2022-09,0.00,0.48,0
MATO GROSSO DO SUL,2022-09,0.18,0.38,11
SANTA CATARINA,2022-10,0.23,0.53,755
SÃO PAULO,2022-10,0.40,1.09,3
MINAS GERAIS,2022-10,0.10,0.23,1158
PERNAMBUCO,2022-10,5.44,1.90,23
BAHIA,2022-10,1.05,1.06,1
CEARÁ,2022-10,0.56,4.78,12
ESPÍRITO SANTO,2022-10,3.24,7.85,4
SERGIPE,2022-10,0.32,1.23,0
AMAZONAS,2022-10,0.03,2.58,59
RIO GRANDE DO SUL,2022-10,0.02,0.38,4
PARAÍBA,2022-10,0.81,1.91,9
PARÁ,2022-10,0.71,1.47,93
PARANÁ,2022-10,1.22,0.49,3
AMAPÁ,2022-10,0.00,1.55,0
ALAGOAS,2022-10,0.13,0.30,0
PIAUÍ,2022-10,1.46,4.05,1
RIO DE JANEIRO,2022-10,3.24,1.76,8
GOIÁS,2022-10,0.00,0.06,0
RIO GRANDE DO NORTE,2022-10,0.01,0.09,1
TOCANTINS,2022-10,0.08,0.00,2
MARANHÃO,2022-10,0.16,0.15,0
DISTRITO FEDERAL,2022-10,0.23,0.32,23
RONDÔNIA,2022-10,0.00,0.42,5
MATO GROSSO,2022-10,0.02,0.16,0
SÃO PAULO,2022-11,1.27,3.70,24
SANTA CATARINA,2022-11,0.43,1.11,850
MINAS GERAIS,2022-11,0.20,0.53,24
CEARÁ,2022-11,0.50,2.67,7
DISTRITO FEDERAL,2022-11,0.03,0.60,14
RIO GRANDE DO SUL,2022-11,0.15,0.24,2
ESPÍRITO SANTO,2022-11,3.80,8.94,11
ALAGOAS,2022-11,0.09,0.95,6
PERNAMBUCO,2022-11,7.54,3.72,43
RIO GRANDE DO NORTE,2022-11,0.00,0.58,0
PARANÁ,2022-11,1.78,1.51,5
SERGIPE,2022-11,1.04,2.48,2
GOIÁS,2022-11,0.00,0.04,0
MATO GROSSO,2022-11,0.01,0.18,1
RONDÔNIA,2022-11,0.00,0.33,6
AMAZONAS,2022-11,0.00,0.53,25
BAHIA,2022-11,0.78,0.91,3
AMAPÁ,2022-11,0.00,3.17,0
PIAUÍ,2022-11,0.81,2.77,1
RIO DE JANEIRO,2022-11,4.47,2.84,37
PARAÍBA,2022-11,2.47,3.69,9
